Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Yu-Gi-Oh: Duel Monsters 4,GB,2000.0,Role-Playing,0.0,0.0,2.17,0.01,,,
ATV Offroad Fury 2,PS2,2002.0,Racing,1.92,0.2,0.0,0.06,82.0,8.9,E
FIFA 15,XOne,2014.0,Sports,0.6,1.42,0.0,0.16,82.0,5.4,E
Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,1.48,0.17,0.47,0.06,,,
Star Wars: Rogue Squadron,N64,1998.0,Simulation,1.6,0.46,0.08,0.03,,,
Tennis,NES,1984.0,Sports,0.48,0.11,1.56,0.02,,,
Tom Clancy's The Division,XOne,2016.0,Shooter,1.29,0.68,0.0,0.2,80.0,6.9,M
Final Fantasy XIII,X360,2010.0,Role-Playing,1.28,0.67,0.01,0.21,82.0,6.3,T
The Sims: House Party,PC,2001.0,Simulation,1.23,0.83,0.0,0.1,74.0,7.9,T
Scribblenauts,DS,2009.0,Puzzle,1.67,0.3,0.02,0.18,79.0,7.6,E10+
Sonic Unleashed,Wii,2008.0,Platform,1.26,0.67,0.02,0.21,66.0,7.3,E10+
Syphon Filter 2,PS,2000.0,Shooter,1.5,0.55,0.02,0.08,,,
Pokemon Ranger,DS,2006.0,Role-Playing,1.28,0.03,0.73,0.12,69.0,7.6,E
Volleyball,NES,1987.0,Sports,0.14,0.03,1.98,0.0,,,
Skylanders SWAP Force,Wii,2013.0,Platform,1.21,0.75,0.0,0.19,,6.6,E10+
Overwatch,PS4,2016.0,Shooter,0.81,0.85,0.15,0.33,90.0,6.1,T
Hitman: Absolution,PS3,2012.0,Action,0.59,1.05,0.07,0.44,83.0,7.5,M
SimCity 2000,PC,1992.0,Simulation,1.2,0.84,0.0,0.1,,,
R.C. Pro-Am,NES,1988.0,Racing,1.47,0.38,0.19,0.1,,,
Super Mario RPG: Legend of the Seven Stars,SNES,1996.0,Role-Playing,0.66,0.0,1.45,0.03,,,
Mahjong,NES,1983.0,Misc,0.01,0.0,2.13,0.0,,,
Demon Attack,2600,1981.0,Shooter,1.99,0.12,0.0,0.02,,,
Call of Duty: Roads to Victory,PSP,2007.0,Shooter,0.52,1.02,0.0,0.59,64.0,7.5,T
Dance Dance Revolution Extreme,PS2,2004.0,Simulation,1.04,0.81,0.0,0.27,77.0,9,E
Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,0.82,0.37,0.89,0.05,87.0,7.8,E
Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,1.49,0.46,0.0,0.18,62.0,5.2,E
Project Gotham Racing,XB,2001.0,Racing,1.37,0.61,0.05,0.09,85.0,8.2,E
Golf,GB,1989.0,Sports,0.83,0.33,0.92,0.04,,,
NBA 2K12,PS3,2011.0,Sports,1.62,0.26,0.05,0.18,90.0,6.7,E
Tony Hawk's Pro Skater,N64,2000.0,Sports,1.68,0.4,0.0,0.03,,,
Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,1.68,0.31,0.02,0.09,89.0,8.5,E
PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,0.11,1.33,0.4,0.26,,,
Dynasty Warriors 4,PS2,2003.0,Action,0.63,0.21,1.13,0.13,78.0,9.3,T
NBA 2K14,PS3,2013.0,Sports,1.44,0.31,0.04,0.32,84.0,4.9,E
Parasite Eve,PS,1998.0,Role-Playing,0.94,0.07,1.05,0.04,81.0,8.9,M
Tetris DS,DS,2006.0,Puzzle,0.63,0.05,1.35,0.08,84.0,8.7,E
Project Gotham Racing (JP weekly sales),XB,2002.0,Action,1.54,0.44,0.04,0.07,,,
Scooby-Doo! Night of 100 Frights,PS2,2002.0,Platform,1.17,0.72,0.0,0.22,,,
Battlefield: Hardline,PS4,2015.0,Shooter,0.71,0.94,0.14,0.32,73.0,5,M
Mortal Kombat,X360,2011.0,Fighting,1.63,0.31,0.0,0.16,86.0,8.3,M
Borderlands,PS3,2009.0,Shooter,1.2,0.6,0.0,0.29,83.0,7.9,M
Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,0.99,0.63,0.29,0.19,84.0,9,M
Derby Stallion,PS,1997.0,Sports,0.0,0.0,1.96,0.14,,,
NBA 2K11,X360,2010.0,Action,1.84,0.12,0.01,0.13,89.0,8.1,E
Finding Nemo,PS2,2003.0,Action,1.26,0.6,0.05,0.18,,,
Dying Light,PS4,2015.0,Action,0.96,0.67,0.12,0.34,74.0,7.9,M
Yokai Watch,3DS,2013.0,Role-Playing,0.25,0.45,1.33,0.05,,,
Dead Rising,X360,2006.0,Action,1.16,0.64,0.08,0.2,85.0,7.6,M
World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,1.77,0.32,0.0,0.0,90.0,5.6,T
Tetris Worlds,PS2,2002.0,Puzzle,1.11,0.71,0.0,0.27,44.0,6.2,E
Final Fantasy III,DS,2006.0,Role-Playing,0.89,0.04,1.07,0.09,77.0,7.1,E10+
Sim Theme Park,PC,1998.0,Strategy,2.04,0.04,0.0,0.0,,8.3,E
Mario Party 5,GC,2003.0,Misc,0.97,0.33,0.73,0.06,69.0,8.2,E
Rock Band,Wii,,Misc,1.33,0.56,0.0,0.2,80.0,6.3,T
Warcraft: Orcs & Humans,PC,1994.0,Strategy,0.89,1.08,0.0,0.11,,,
Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,0.89,0.58,0.46,0.14,,,
Portal 2,X360,2011.0,Shooter,1.41,0.49,0.01,0.17,95.0,8.5,E10+
Mario Sports Mix,Wii,2010.0,Sports,0.88,0.44,0.63,0.12,64.0,7.1,E
Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,1.77,0.12,0.02,0.17,72.0,7.8,E10+
Spec Ops: Airborne Commando,PS,2002.0,Shooter,1.54,0.46,0.0,0.08,,,
The Sims 2: Pets,DS,2006.0,Simulation,0.92,0.93,0.0,0.22,49.0,5.2,E
Dance Dance Revolution: Hottest Party,Wii,2007.0,Simulation,1.35,0.52,0.0,0.19,73.0,7.1,E10+
DriveClub,PS4,2014.0,Racing,0.36,1.38,0.02,0.31,71.0,6.1,E
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,1.64,0.36,0.0,0.07,,,
UFC 2009 Undisputed,X360,2009.0,Fighting,1.48,0.39,0.0,0.19,83.0,7.9,T
Metal Gear Solid: Peace Walker,PSP,2010.0,Action,0.46,0.41,0.96,0.24,89.0,8.9,T
Kirby's Epic Yarn,Wii,2010.0,Platform,1.42,0.09,0.45,0.1,,,
Wipeout: The Game,Wii,2009.0,Misc,1.94,0.0,0.0,0.12,,,
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,0.71,0.52,0.74,0.08,,,
The Incredibles,GBA,2004.0,Action,1.15,0.77,0.04,0.1,55.0,tbd,E
R4: Ridge Racer Type 4,PS,1998.0,Racing,0.68,0.46,0.79,0.13,88.0,9.2,
Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,0.63,0.41,0.75,0.26,82.0,8.6,E10+
Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,1.2,0.62,0.04,0.19,,,
SoulCalibur II,PS2,2003.0,Fighting,1.06,0.62,0.13,0.25,92.0,8.8,T
Need for Speed: ProStreet,X360,2007.0,Racing,1.04,0.79,0.01,0.21,72.0,7.1,E10+
Sonic Mega Collection,GC,2002.0,Misc,1.47,0.48,0.05,0.06,75.0,8.8,E
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,0.6,0.96,0.13,0.36,,,
Madden NFL 15,X360,2014.0,Sports,1.77,0.06,0.0,0.22,,5.5,E
Need For Speed: Undercover,PS3,2008.0,Racing,0.63,1.0,0.05,0.38,59.0,5.9,T
Toy Story 3: The Video Game,DS,2010.0,Action,0.89,0.94,0.02,0.21,,,
NBA Jam,GEN,1992.0,Sports,1.75,0.25,0.0,0.05,,,
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,1.74,0.02,0.0,0.28,72.0,9,T
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,0.71,1.02,0.0,0.31,82.0,8.2,T
Need for Speed: ProStreet,PS3,2007.0,Racing,0.73,0.91,0.04,0.36,73.0,6,E10+
Donkey Kong Country,GBA,2003.0,Platform,1.2,0.48,0.29,0.07,78.0,8.9,E
Dance Central 2,X360,2011.0,Misc,1.45,0.41,0.01,0.16,86.0,8.2,T
PGR4 - Project Gotham Racing 4,X360,2007.0,Racing,0.48,1.28,0.02,0.25,,,
1080°: TenEighty Snowboarding,N64,1998.0,Sports,1.25,0.61,0.13,0.05,,,
Carnival Games,DS,2008.0,Misc,1.21,0.63,0.0,0.19,48.0,3.3,E
NBA Live 2004,PS2,2003.0,Sports,1.57,0.18,0.0,0.27,86.0,7.7,E
Call of Duty 2,X360,2005.0,Shooter,1.82,0.04,0.01,0.16,89.0,8.1,T
Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,0.72,1.08,0.0,0.23,73.0,7.7,E10+
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,1.15,0.04,0.83,0.0,62.0,8.1,E
Dark Souls,PS3,2011.0,Role-Playing,0.75,0.51,0.54,0.22,89.0,8.7,M
Just Dance 3,X360,2011.0,Misc,1.47,0.39,0.0,0.16,70.0,7.7,E10+
Battlefield 4,XOne,2013.0,Shooter,1.25,0.58,0.0,0.19,81.0,6.6,M
Fire Emblem: Awakening,3DS,2012.0,Role-Playing,0.9,0.45,0.54,0.13,92.0,9.1,T
Need for Speed: The Run,PS3,2011.0,Action,0.58,1.04,0.03,0.36,64.0,6.4,T
Just Dance 2015,Wii,2014.0,Misc,0.99,0.85,0.0,0.17,,8.4,E10+
Dragon Age: Inquisition,PS4,2014.0,Role-Playing,0.73,0.88,0.08,0.32,89.0,7.4,M
Super Street Fighter II,SNES,1993.0,Fighting,0.52,0.16,1.29,0.03,,,
Dead Space,PS3,2008.0,Action,1.05,0.66,0.0,0.29,88.0,8.8,M
Mortal Kombat vs. DC Universe,PS3,2008.0,Fighting,1.48,0.28,0.0,0.23,76.0,7.1,T
TouchMaster,DS,2007.0,Puzzle,0.48,1.27,0.0,0.24,71.0,5.7,E10+
Tenchu: Stealth Assassins,PS,1997.0,Action,0.95,0.64,0.27,0.13,87.0,8.8,M
Tennis,GB,1989.0,Sports,0.75,0.3,0.9,0.04,,,
Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,1.21,0.64,0.05,0.09,76.0,7.9,E
Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,1.06,0.26,0.53,0.13,75.0,7.8,E10+
Skate 3,PS3,2010.0,Sports,0.79,0.88,0.0,0.32,80.0,7.6,T
SimCity,SNES,1991.0,Simulation,0.93,0.27,0.75,0.04,,,
Harry Potter and the Chamber of Secrets,PS,2002.0,Action,0.75,1.09,0.02,0.12,,8.5,E
Need for Speed Rivals,PS4,2013.0,Racing,0.73,0.92,0.03,0.3,80.0,6.2,E10+
Spyro: Enter the Dragonfly,PS2,2002.0,Platform,0.74,0.95,0.0,0.28,56.0,4.1,E
Devil May Cry 2,PS2,2003.0,Action,0.71,0.58,0.51,0.17,68.0,6.6,M
E.T.: The Extra Terrestrial,2600,1981.0,Action,1.84,0.11,0.0,0.02,,,
Hot Shots Golf: Open Tee,PSP,2004.0,Sports,0.5,0.5,0.63,0.33,81.0,8.7,E10+
Minecraft,PSV,2014.0,Misc,0.18,0.64,0.9,0.24,,,
Soccer,NES,1985.0,Sports,0.18,0.23,1.53,0.02,,,
Rad Racer,NES,1986.0,Racing,1.13,0.37,0.41,0.05,,,
Forza Horizon,X360,2012.0,Racing,0.82,0.93,0.04,0.18,85.0,8.4,T
Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,1.09,0.65,0.02,0.2,88.0,8.3,M
Crash Nitro Kart,PS2,2003.0,Racing,0.74,1.01,0.0,0.2,69.0,7.7,E
Resident Evil 6,X360,2012.0,Shooter,1.12,0.6,0.07,0.16,67.0,5,M
Grand Theft Auto: San Andreas,XB,2005.0,Action,1.26,0.61,0.0,0.09,93.0,8.6,AO
Star Wars: Dark Forces,PC,1994.0,Shooter,1.09,0.77,0.0,0.09,,,
NBA Street Vol. 2,PS2,2003.0,Sports,1.69,0.2,0.0,0.06,90.0,8.8,E
Def Jam Vendetta,PS2,2003.0,Fighting,0.95,0.74,0.0,0.25,80.0,8.9,T
Kirby Squeak Squad,DS,2006.0,Platform,0.78,0.02,1.05,0.08,71.0,8.1,E
Burnout Paradise,PS3,2008.0,Racing,1.01,0.62,0.02,0.29,87.0,7.7,E10+
Who wants to be a millionaire,PC,1999.0,Misc,1.94,0.0,0.0,0.0,,tbd,E
Alleyway,GB,1989.0,Puzzle,0.96,0.38,0.55,0.05,,,
Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,0.59,1.23,0.0,0.13,,7.4,E
The Sims 3,PS3,2010.0,Simulation,0.73,0.89,0.02,0.3,78.0,6.4,T
FIFA Soccer 09,X360,2008.0,Sports,0.49,1.26,0.01,0.18,87.0,8,E
Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,1.09,0.15,0.65,0.04,77.0,8.9,T
Call of Duty: World at War,Wii,2008.0,Shooter,1.17,0.58,0.0,0.18,83.0,7.6,M
Jet Moto 2,PS,1997.0,Racing,1.41,0.42,0.03,0.07,,,
Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,1.42,0.4,0.0,0.12,63.0,8.3,M
BioShock Infinite,X360,2013.0,Shooter,1.22,0.54,0.02,0.16,93.0,8.5,M
X-Men Legends,PS2,2004.0,Role-Playing,1.0,0.72,0.0,0.21,79.0,8.5,T
Mortal Kombat II,SNES,1993.0,Fighting,1.48,0.39,0.0,0.06,,,
Virtua Fighter 2,SAT,1995.0,Fighting,0.34,0.26,1.3,0.03,,,
Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,1.53,0.23,0.0,0.16,72.0,7.5,T
Destiny: The Taken King,PS4,2015.0,Shooter,0.78,0.79,0.04,0.31,86.0,6,T
Tetris DX,GB,1998.0,Puzzle,1.06,0.6,0.2,0.07,,,
The Legend of Zelda: Oracle of Ages,GB,2001.0,Action,0.92,0.53,0.41,0.06,,,
Destiny,X360,2014.0,Shooter,1.31,0.43,0.0,0.18,,4.7,T
Red Faction,PS2,2001.0,Shooter,0.76,0.96,0.0,0.2,88.0,8,M
The Sims: Makin' Magic,PC,2003.0,Simulation,1.03,0.8,0.0,0.09,80.0,8.6,T
Mario Party: Island Tour,3DS,2013.0,Misc,0.62,0.64,0.55,0.11,57.0,6.3,E
MX Unleashed,PS2,2004.0,Racing,0.94,0.73,0.0,0.25,80.0,9.2,E
PaRappa The Rapper,PS,1996.0,Misc,0.26,0.16,1.46,0.03,92.0,7.4,K-A
Guitar Hero: World Tour,PS3,2008.0,Misc,1.1,0.55,0.0,0.27,84.0,7.5,T
Need for Speed: Shift,X360,2009.0,Racing,0.73,0.96,0.01,0.22,83.0,6.5,E
Mario Party 3,N64,2000.0,Misc,0.72,0.16,1.01,0.02,,,
Diablo III,PS3,2013.0,Role-Playing,0.72,0.75,0.15,0.29,86.0,6.4,M
LittleBigPlanet 3,PS4,2014.0,Platform,0.66,0.93,0.01,0.31,79.0,7.1,E
Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,1.03,0.75,0.03,0.09,90.0,8.6,T
Tomb Raider (2013),X360,2013.0,Action,0.86,0.84,0.01,0.17,,,
Mario Super Sluggers,Wii,2008.0,Sports,1.48,0.0,0.29,0.12,69.0,7.8,E
Donkey Kong Country Returns,3DS,2013.0,Platform,0.74,0.62,0.41,0.13,,,
Monopoly,Wii,2008.0,Misc,0.86,0.83,0.0,0.2,70.0,7.8,E
Madden NFL 09,PS3,2008.0,Sports,1.56,0.14,0.0,0.18,85.0,4.4,E
Batman: Arkham Origins,X360,2013.0,Action,1.15,0.56,0.0,0.17,74.0,7.5,T
Game Party 2,Wii,2008.0,Misc,1.28,0.43,0.0,0.17,29.0,4.6,E
Yu-Gi-Oh! Forbidden Memories,PS,1999.0,Role-Playing,1.37,0.44,0.0,0.08,,,
Mortal Kombat: Deception,PS2,2004.0,Fighting,0.92,0.72,0.0,0.24,81.0,8.5,M
Hot Shots Golf 2,PS,1999.0,Sports,0.25,0.12,1.48,0.03,,,
Medal of Honor: European Assault (All Region sales),PS2,2005.0,Shooter,0.89,0.69,0.09,0.21,,,
NBA 2K17,PS4,2016.0,Sports,1.25,0.27,0.02,0.34,88.0,6.7,E
Toy Story Mania!,Wii,2009.0,Misc,1.04,0.66,0.0,0.18,49.0,6.6,E
WCW Nitro,PS,1998.0,Fighting,1.42,0.36,0.03,0.07,,,
High School Musical: Sing It!,PS2,2007.0,Misc,0.47,0.08,0.0,1.33,,,
Star Fox Adventures,GC,2002.0,Adventure,0.96,0.53,0.3,0.09,82.0,7.7,T
FIFA 2000,PS,1998.0,Sports,0.22,1.47,0.04,0.14,,,
Madden NFL 25,PS3,2013.0,Sports,1.6,0.03,0.0,0.24,76.0,4.1,E
Dynasty Warriors 3,PS2,2001.0,Action,0.53,0.16,1.07,0.1,78.0,9.1,T
The Legend of Zelda: Oracle of Seasons,GB,2001.0,Adventure,0.87,0.52,0.41,0.06,,,
Ratchet & Clank Future: A Crack in Time,PS3,2009.0,Platform,1.05,0.53,0.03,0.26,,,
Madden NFL 06,XB,2005.0,Sports,1.75,0.03,0.0,0.08,86.0,6.7,E
Shrek 2,PS2,2004.0,Platform,1.12,0.69,0.03,0.02,71.0,8.5,E
Turok 2: Seeds of Evil,N64,1997.0,Platform,1.37,0.41,0.04,0.04,,,
The Legend of Dragoon,PS,1999.0,Role-Playing,0.94,0.44,0.39,0.1,74.0,8.4,T
SingStar,PS2,2004.0,Misc,0.0,1.37,0.0,0.49,,,
Star Wars: The Force Unleashed,Wii,2008.0,Action,1.11,0.56,0.0,0.18,71.0,7.9,T
NBA Live 2002,PS2,2001.0,Sports,0.91,0.71,0.0,0.24,70.0,7.4,E
Just Cause 3,PS4,2015.0,Action,0.47,1.03,0.07,0.28,73.0,6.5,M
Chrono Cross,PS,1999.0,Role-Playing,0.62,0.42,0.69,0.12,94.0,8.1,T
Jak 3,PS2,2004.0,Platform,1.33,0.49,0.0,0.03,84.0,8.6,T
Kingdom Hearts: Chain of Memories,GBA,2004.0,Role-Playing,1.26,0.18,0.35,0.06,76.0,7.9,E
Pinball,NES,1984.0,Action,0.8,0.19,0.83,0.03,,,
Max Payne 3,PS3,2012.0,Shooter,0.59,0.89,0.06,0.3,87.0,7.8,M
Gran Turismo Concept 2001 Tokyo,PS2,2001.0,Racing,0.0,1.1,0.42,0.33,,,
LEGO Marvel Super Heroes,PS3,2013.0,Action,0.77,0.76,0.01,0.29,82.0,7.9,E10+
Phineas and Ferb,DS,2009.0,Action,1.32,0.37,0.0,0.15,80.0,4.5,E
NCAA Football 06,PS2,2005.0,Sports,1.53,0.05,0.0,0.25,87.0,8.5,E
"Hey You, Pikachu!",N64,1998.0,Simulation,0.83,0.06,0.93,0.0,,,
Rayman Raving Rabbids 2,Wii,2007.0,Misc,0.82,0.82,0.0,0.2,67.0,8.3,E10+
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005.0,Misc,1.31,0.49,0.0,0.03,,,
Jet Moto,PS,1996.0,Racing,1.33,0.4,0.03,0.07,,,
Kirby: Triple Deluxe,3DS,2014.0,Platform,0.61,0.34,0.79,0.09,80.0,8.8,E
Secret of Mana,SNES,1993.0,Role-Playing,0.25,0.07,1.49,0.02,,,
GoldenEye 007 (2010),Wii,2010.0,Action,0.84,0.7,0.13,0.16,,,
Sonic Classic Collection,DS,2010.0,Platform,0.92,0.73,0.0,0.17,70.0,7.5,E
Air Combat,PS,1995.0,Simulation,0.92,0.33,0.52,0.05,,,
Diablo III,PS4,2014.0,Role-Playing,0.51,0.98,0.06,0.28,,,M
inFAMOUS 2,PS3,2011.0,Action,1.05,0.47,0.08,0.22,83.0,8.4,T
World of Warcraft: Mists of Pandaria,PC,2012.0,Role-Playing,0.84,0.76,0.0,0.22,82.0,4.8,T
Sonic & Knuckles,GEN,1994.0,Platform,1.24,0.43,0.03,0.12,,,
Namco Museum,PS2,2001.0,Misc,1.73,0.07,0.0,0.02,72.0,6,E
The Sims: Hot Date,PC,2001.0,Simulation,1.81,0.0,0.0,0.0,85.0,7.9,T
Demon's Souls,PS3,2009.0,Role-Playing,0.97,0.33,0.35,0.17,89.0,8.9,M
The Orange Box,X360,2007.0,Shooter,1.09,0.53,0.02,0.17,96.0,8.9,M
DDRMAX2: Dance Dance Revolution,PS2,2003.0,Simulation,1.05,0.59,0.0,0.18,82.0,8.2,E
Crazy Taxi,DC,2000.0,Racing,1.1,0.51,0.12,0.08,,,
Virtua Fighter 4,PS2,2002.0,Fighting,0.78,0.44,0.56,0.04,94.0,8,T
Mafia III,PS4,2016.0,Action,0.42,1.08,0.03,0.28,68.0,5.1,M
Sly 2: Band of Thieves,PS2,2004.0,Platform,0.88,0.69,0.0,0.23,88.0,9,E
Guitar Hero: World Tour,PS2,2008.0,Misc,1.0,0.03,0.0,0.77,,8,T
Sonic Advance 2,GBA,2002.0,Platform,0.93,0.59,0.21,0.07,83.0,8.3,E
Madden NFL 07,X360,2006.0,Sports,1.66,0.0,0.01,0.13,80.0,6,E
NFL GameDay 2000,PS,1999.0,Sports,1.0,0.68,0.0,0.12,,,
NBA 2K11,PS3,2010.0,Action,1.41,0.2,0.03,0.16,89.0,7.6,E
Forza Motorsport 6,XOne,2015.0,Racing,0.73,0.9,0.03,0.14,87.0,7.9,E
The Evil Within,PS4,2014.0,Action,0.55,0.86,0.11,0.27,75.0,7.3,M
Metroid Prime 3: Corruption,Wii,2007.0,Shooter,0.89,0.74,0.07,0.09,90.0,8.9,T
The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,0.92,0.6,0.14,0.14,,,
Disney's The Lion King,SNES,1994.0,Platform,1.26,0.39,0.08,0.06,,,
Professor Layton and the Mask of Miracle,3DS,2011.0,Puzzle,0.32,0.97,0.36,0.13,,,
Midnight Club II,PS2,2003.0,Racing,1.25,0.29,0.0,0.24,85.0,8.5,T
SpongeBob SquarePants: SuperSponge,PS,2001.0,Action,1.12,0.58,0.0,0.08,,,
The Getaway: Black Monday,PS2,2004.0,Action,0.39,1.01,0.02,0.36,57.0,7.6,M
50 Cent: Bulletproof,PS2,2005.0,Action,0.85,0.76,0.0,0.16,47.0,6.6,M
Final Fantasy II,SNES,1991.0,Role-Playing,0.24,0.09,1.33,0.12,,,
Kirby 64: The Crystal Shards,N64,2000.0,Platform,0.63,0.06,1.03,0.04,,,
Dead or Alive 3,XB,2001.0,Fighting,1.19,0.29,0.24,0.06,87.0,8.6,T
Dragon Quest Monsters: Joker,DS,2006.0,Role-Playing,0.23,0.02,1.49,0.02,75.0,7.4,E10+
LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action,1.01,0.6,0.0,0.15,76.0,7.7,E10+
High School Musical: Sing It!,Wii,2007.0,Misc,1.15,0.45,0.0,0.16,,,
Metroid II: Return of Samus,GB,1991.0,Adventure,0.85,0.31,0.56,0.04,,,
WWF Attitude,PS,1998.0,Fighting,1.27,0.42,0.0,0.07,,,
UFC 2009 Undisputed,PS3,2009.0,Fighting,1.07,0.44,0.01,0.24,84.0,8.1,T
The SpongeBob SquarePants Movie,PS2,2004.0,Platform,1.06,0.54,0.0,0.16,75.0,9,E
Golden Sun,GBA,2001.0,Role-Playing,0.93,0.38,0.4,0.06,91.0,9.3,E
Sonic the Hedgehog 3,GEN,1994.0,Platform,1.02,0.47,0.2,0.07,,,
Kid Icarus,NES,1986.0,Platform,0.53,0.12,1.09,0.02,,,
Def Jam: Fight for NY,PS2,2004.0,Fighting,0.86,0.67,0.0,0.22,83.0,8.9,M
Tom Clancy's Ghost Recon,XB,2002.0,Shooter,1.23,0.46,0.0,0.07,84.0,6.1,M
State of Emergency,PS2,2002.0,Action,0.86,0.67,0.0,0.22,71.0,5.7,M
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,1.26,0.47,0.0,0.03,,,
The Urbz: Sims in the City,PS2,2004.0,Simulation,0.52,0.95,0.0,0.29,70.0,8.2,T
Star Wars: Starfighter,PS2,2001.0,Simulation,0.61,0.87,0.02,0.26,84.0,8,T
Madden NFL 2000,PS,1998.0,Sports,1.68,0.04,0.0,0.04,,,
Star Wars: Battlefront,XB,2004.0,Shooter,1.24,0.45,0.0,0.07,80.0,9.1,T
Pro Evolution Soccer,PS2,2001.0,Sports,0.06,0.9,0.53,0.27,,,
Madden NFL 17,PS4,2016.0,Sports,1.25,0.17,0.0,0.32,82.0,4.9,E
Just Cause 2,PS3,2010.0,Action,0.45,0.92,0.06,0.32,83.0,8,M
Disney's Aladdin,SNES,1993.0,Platform,0.94,0.34,0.21,0.27,,,
Kirby's Adventure,NES,1993.0,Platform,0.79,0.14,0.8,0.02,,,
Yoshi,NES,1991.0,Puzzle,0.7,0.13,0.91,0.01,,,
The Elder Scrolls Online,PS4,2015.0,Role-Playing,0.67,0.79,0.0,0.29,,,
FIFA Soccer 08,PS3,2007.0,Sports,0.35,1.06,0.02,0.31,81.0,7.1,E
Crackdown,X360,2007.0,Shooter,1.0,0.53,0.03,0.18,83.0,8,M
Wii Party U,WiiU,2013.0,Misc,0.3,0.56,0.84,0.05,65.0,6.8,E
Dance Dance Revolution X,PS2,2008.0,Simulation,0.85,0.66,0.01,0.22,55.0,6.2,E10+
2 Games in 1: Disney Princess & The Lion King,GBA,2004.0,Misc,1.25,0.46,0.0,0.03,,,
Kingdom Hearts,PS3,2013.0,Role-Playing,0.9,0.35,0.25,0.24,,,
Star Wars Episode I: The Phantom Menace,PS,1999.0,Adventure,0.72,0.89,0.04,0.1,,,
Xenosaga Episode I: Der Wille zur Macht,PS2,2002.0,Role-Playing,0.63,0.49,0.45,0.17,83.0,8.7,T
Watch Dogs,PS3,2014.0,Action,0.56,0.81,0.1,0.27,,5.1,M
Kinect Star Wars,X360,2012.0,Action,1.05,0.52,0.03,0.14,55.0,3.5,T
Dragon's Dogma,PS3,2012.0,Role-Playing,0.41,0.44,0.72,0.17,78.0,8.3,M
Cruis'n USA,N64,1996.0,Racing,1.69,0.04,0.0,0.01,,,
Madden NFL 99,PS,1998.0,Sports,1.66,0.04,0.0,0.04,,,
The Order: 1886,PS4,2015.0,Shooter,0.61,0.78,0.06,0.27,63.0,6.6,M
SSX Tricky,PS2,2001.0,Sports,0.85,0.66,0.0,0.22,92.0,8.9,E
Knack,PS4,2013.0,Platform,0.43,0.68,0.42,0.2,54.0,6.5,E10+
Twisted Metal III,PS,1998.0,Action,1.48,0.2,0.0,0.05,,,
Harry Potter and the Sorcerer's Stone,GB,2001.0,Action,0.94,0.62,0.1,0.07,,,
Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,0.2,0.14,1.35,0.03,78.0,8.1,T
Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,0.95,0.7,0.0,0.08,78.0,7.9,E
Hitman: Absolution,X360,2012.0,Action,0.68,0.88,0.01,0.17,79.0,7.1,M
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003.0,Action,0.85,0.66,0.0,0.22,,,
The Crew,PS4,2014.0,Racing,0.35,1.08,0.03,0.26,61.0,5.4,T
Call of Duty: World at War Final Fronts,PS2,2008.0,Shooter,0.61,0.18,0.0,0.94,,,
NBA 2K15,XOne,2014.0,Sports,1.37,0.18,0.0,0.18,82.0,6.3,E
Madden NFL 2005,XB,2004.0,Sports,1.61,0.03,0.0,0.08,91.0,7.6,E
